#ErIR	ErGR	alpha	band0Bot	band0Top	band1Bot	band1Top
0.5	0.	0.	-0.7499999999999999	2.25	0.2500000000000001	3.25
0.5	0.	0.1	-0.7523433496008232	2.130831540541534	0.28776995857398924	3.2483075594824737
0.5	0.	0.2	-0.7546858989783536	2.0811311958584566	0.30238440601771965	3.2466156542131017
0.5	0.	0.30000000000000004	-0.7570276489949916	2.0428612278483964	0.31318925446073553	3.2449242836169105
0.5	0.	0.4	-0.7593686005108089	2.010508507702835	0.32202221293647404	3.2432334471204047
0.5	0.	0.5	-0.7617087543846868	1.981937514414148	0.3295951212118322	3.241543144150941
0.5	0.	0.6000000000000001	-0.7640481114738225	1.9560529948248404	0.3362730631051063	3.239853374136913
0.5	0.	0.7000000000000001	-0.766386672634237	1.932204301982654	0.3422729203668291	3.2381641365076357
0.5	0.	0.8	-0.7687244387196923	1.9099674928478834	0.34773600677812744	3.236475430693795
0.5	0.	0.9	-0.771061410583262	1.8890480882823173	0.3527604814868526	3.234787256126669
0.5	0.	1.	-0.7733975890757836	1.8692316745203954	0.3574178151847687	3.2330996122388083
0.5	0.5	0.	0.7538012214591622	3.7538012214591623	1.7538012214591623	4.753801221459162
0.5	0.5	0.1	0.7514578718583389	3.634632762000696	1.7915711800331513	4.752108780941636
0.5	0.5	0.2	0.7491153224808085	3.584932417317619	1.8061856274768817	4.750416875672264
0.5	0.5	0.30000000000000004	0.7467735724641704	3.5466624493075587	1.8169904759198976	4.748725505076073
0.5	0.5	0.4	0.7444326209483532	3.514309729161997	1.825823434395636	4.747034668579566
0.5	0.5	0.5	0.7420924670744753	3.4857387358733103	1.8333963426709943	4.745344365610103
0.5	0.5	0.6000000000000001	0.7397531099853396	3.4598542162840022	1.8400742845642684	4.743654595596075
0.5	0.5	0.7000000000000001	0.7374145488249251	3.436005523441816	1.8460741418259912	4.741965357966798
0.5	0.5	0.8	0.7350767827394697	3.4137687143070456	1.8515372282372895	4.740276652152957
0.5	0.5	0.9	0.7327398108759	3.3928493097414796	1.8565617029460146	4.738588477585831
0.5	0.5	1.	0.7304036323833785	3.3730328959795575	1.8612190366439307	4.7369008336979705
0.5	1.	0.	2.257602442918324	5.257602442918325	3.257602442918324	6.257602442918325
0.5	1.	0.1	2.255259093317501	5.1384339834598585	3.2953724014923136	6.255910002400798
0.5	1.	0.2	2.2529165439399703	5.08873363877678	3.3099868489360436	6.254218097131426
0.5	1.	0.30000000000000004	2.2505747939233327	5.050463670766721	3.3207916973790597	6.252526726535235
0.5	1.	0.4	2.2482338424075152	5.018110950621159	3.329624655854798	6.250835890038728
0.5	1.	0.5	2.2458936885336374	4.989539957332472	3.3371975641301566	6.249145587069265
0.5	1.	0.6000000000000001	2.2435543314445017	4.9636554377431645	3.3438755060234304	6.247455817055237
0.5	1.	0.7000000000000001	2.241215770284087	4.939806744900978	3.349875363285153	6.245766579425959
0.5	1.	0.8	2.238878004198632	4.917569935766208	3.3553384496964513	6.2440778736121185
0.5	1.	0.9	2.236541032335062	4.896650531200642	3.3603629244051767	6.242389699044994
0.5	1.	1.	2.2342048538425408	4.87683411743872	3.365020258103093	6.240702055157133
